轮次,qtype,二级类型,Prompt,打分prompt,参考答案,audio_filename
1,数学情景题,大小比较,“自然对数+2”和“圆周率+1”哪个大,“自然对数+2”和“圆周率+1”哪个大,“自然对数+2”更大,reasoning_qa_0.mp3
1,干扰性问题,加入干扰条件,一辆自行车在1小时内以20公里/小时的速度行驶，小王行驶的过程中有10分钟是在原地停留。请问自行车30分钟可以行驶多远？,一辆自行车在1小时内以20公里/小时的速度行驶，小王行驶的过程中有10分钟是在原地停留。请问自行车30分钟可以行驶多远？,如果中途没有休息10min，那么10公里；如果休息了10分钟，那么20/3,reasoning_qa_1.mp3
1,数学情景题,大小比较,0.89999999斤铁和0.9888888g铁相比，谁更重？,0.89999999斤铁和0.9888888g铁相比，谁更重？,0.89999999斤铁比0.9888888克铁重,reasoning_qa_2.mp3
1,数学情景题,几何问题,一个长方形的长是两倍于宽。如果长方形的周长是24厘米，那么这个长方形的面积是多少？,一个长方形的长是两倍于宽。如果长方形的周长是24厘米，那么这个长方形的面积是多少？,32,reasoning_qa_3.mp3
1,数学情景题,多情况考虑,一个长方形的长是10厘米，宽是5厘米。如果你把这个长方形对折一次，新形状的长和宽分别是多少？,一个长方形的长是10厘米，宽是5厘米。如果你把这个长方形对折一次，新形状的长和宽分别是多少？,"两种情况：1、沿着长边折后为长5宽5
2、沿着宽边折后长10宽2.5",reasoning_qa_4.mp3
1,数学情景题,求和问题,写出三个连续的数字，它们的和等于24,写出三个连续的数字，它们的和等于24,7、8、9,reasoning_qa_5.mp3
1,数学情景题,青蛙跳井,井深30米，一只青蛙白天爬上去5米，晚上滑下4米。问青蛙几天后能够爬出这口井？,井深30米，一只青蛙白天爬上去5米，晚上滑下4米。问青蛙几天后能够爬出这口井？,第26天,reasoning_qa_6.mp3
1,数学情景题,青蛙跳井,已知一只青蛙爬出井用了5天，井深20米，一只青蛙每天白天爬上去6米。问这只青蛙每晚下滑多少米？,已知一只青蛙爬出井用了5天，井深20米，一只青蛙每天白天爬上去6米。问这只青蛙每晚下滑多少米？,2.5米,reasoning_qa_7.mp3
1,数学情景题,求和问题,写出二个连续的数字，它们的和等于15,写出二个连续的数字，它们的和等于15,7和8,reasoning_qa_8.mp3
1,数学情景题,求和问题,有一个数字，当它乘以2然后加上6，在此基础上再除以五结果是2。那么这个数字是什么？,有一个数字，当它乘以2然后加上6，在此基础上再除以五结果是2。那么这个数字是什么？,2,reasoning_qa_9.mp3
1,命题假设,演绎推理,两个盒子，一个装有铅笔，另一个装有橡皮。如果他们互换位置15次，最后左边的盒子装有铅笔，请问最开始左边的盒子装的是什么？,两个盒子，一个装有铅笔，另一个装有橡皮。如果他们互换位置15次，最后左边的盒子装有铅笔，请问最开始左边的盒子装的是什么？,橡皮,reasoning_qa_10.mp3
1,命题假设,演绎推理,两个不同的容器，一个装水，一个装油。如果它们互换内容物10次，最后左边的容器装的是油，请问最开始左边的容器装的是什么？,两个不同的容器，一个装水，一个装油。如果它们互换内容物10次，最后左边的容器装的是油，请问最开始左边的容器装的是什么？,油,reasoning_qa_11.mp3
1,数学情景题,青蛙跳井,井深60米，一只青蛙每天白天都比前一天多往上爬1米，初始第一天白天爬上去3米，晚上滑下2米。问青蛙几天后能爬出井？,井深60米，一只青蛙每天白天都比前一天多往上爬1米，初始第一天白天爬上去3米，晚上滑下2米。问青蛙几天后能爬出井？,第11天,reasoning_qa_12.mp3
1,命题假设,演绎推理,所有的鱼都会游泳。海豚会游泳。所以，海豚是鱼类，这个推论正确吗？,所有的鱼都会游泳。海豚会游泳。所以，海豚是鱼类，这个推论正确吗？,不正确,reasoning_qa_13.mp3
1,命题假设,逆否命题,如果所有的植物都需要水分来生长，那么我们能不能推断出来“所有不需要水分来生长的生物都不是植物”？,如果所有的植物都需要水分来生长，那么我们能不能推断出来“所有不需要水分来生长的生物都不是植物”？,可以推断,reasoning_qa_14.mp3
1,命题假设,逆否命题,如果所有的植物都需要阳光来生长，且所有生长在热带雨林的植物都不直接暴露于阳光下，那么我们能不能推断出来“所有直接暴露于阳光下的植物都不生长在热带雨林中”？,如果所有的植物都需要阳光来生长，且所有生长在热带雨林的植物都不直接暴露于阳光下，那么我们能不能推断出来“所有直接暴露于阳光下的植物都不生长在热带雨林中”？,可以推断,reasoning_qa_15.mp3
1,命题假设,演绎推理,所有的哺乳动物都是温血动物。所有的温血动物都需要氧气来呼吸。一只猫是哺乳动物。因此，一只猫需要氧气来呼吸，对吗？,所有的哺乳动物都是温血动物。所有的温血动物都需要氧气来呼吸。一只猫是哺乳动物。因此，一只猫需要氧气来呼吸，对吗？,对,reasoning_qa_16.mp3
1,"博弈论
",鸽鹰博弈,两位艺术家参与同一艺术展览，他们需要决定是否展示具有相似风格的作品。如果两位艺术家都展示相似风格的作品，观众可能感到乏味。如果一位艺术家展示相似风格而另一位展示不同风格，展示相似风格的艺术家可能会吸引更多观众。如果两位艺术家都展示不同风格的作品，观众可能感到困惑。最后，艺术家的均衡策略是什么？,两位艺术家参与同一艺术展览，他们需要决定是否展示具有相似风格的作品。如果两位艺术家都展示相似风格的作品，观众可能感到乏味。如果一位艺术家展示相似风格而另一位展示不同风格，展示相似风格的艺术家可能会吸引更多观众。如果两位艺术家都展示不同风格的作品，观众可能感到困惑。最后，艺术家的均衡策略是什么？,展示相似风格,reasoning_qa_17.mp3
1,命题假设,逆否命题,如果所有的数学家都擅长逻辑推理，且所有擅长逻辑推理的人都喜欢解谜游戏，那么我们能不能推断出来“所有不喜欢解谜游戏的人都不是数学家”？,如果所有的数学家都擅长逻辑推理，且所有擅长逻辑推理的人都喜欢解谜游戏，那么我们能不能推断出来“所有不喜欢解谜游戏的人都不是数学家”？,可以推断,reasoning_qa_18.mp3
